requestedUrl,finalUrl,category,name,title,type,score
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","SEO","canonical","Document has a valid `rel=canonical`","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","SEO","font-size","Document uses legible font sizes","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","SEO","plugins","Document avoids plugins","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","SEO","tap-targets","Tap targets are sized appropriately","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","SEO","structured-data","Structured data is valid","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","pwa-score","Overall PWA Category Score","numeric","0.3"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","installable-manifest","Web app manifest or service worker do not meet the installability requirements","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","service-worker","Does not register a service worker that controls page and `start_url`","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","splash-screen","Is not configured for a custom splash screen","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","themed-omnibox","Does not set a theme color for the address bar.","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","content-width","Content is sized correctly for the viewport","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","viewport","Has a `<meta name=""viewport"">` tag with `width` or `initial-scale`","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","apple-touch-icon","Does not provide a valid `apple-touch-icon`","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","maskable-icon","Manifest doesn't have a maskable icon","binary","0"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","pwa-cross-browser","Site works cross-browser","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","pwa-page-transitions","Page transitions don't feel like they block on the network","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","PWA","pwa-each-page-has-url","Each page has a URL","manual","-1"
